mode,hit@1_chunk_id,hit@1_parent_id,hit@1_source_id,hit@3_chunk_id,hit@3_parent_id,hit@3_source_id,hit@5_chunk_id,hit@5_parent_id,hit@5_source_id,hit@10_chunk_id,hit@10_parent_id,hit@10_source_id,mrr_chunk_id,mrr_parent_id,mrr_source_id
vector,0.31,0.37,0.55,0.44,0.52,0.82,0.54,0.61,0.87,0.58,0.66,0.9,0.3965,0.4652,0.6919
bm25,0.36,0.39,0.46,0.57,0.6,0.73,0.59,0.64,0.77,0.67,0.71,0.82,0.4706,0.5063,0.601
hybrid_rrf,0.41,0.49,0.52,0.53,0.62,0.8,0.59,0.65,0.9,0.7,0.77,0.94,0.4958,0.5739,0.6827
